step 0: train loss 8.7256, val loss 8.7217
iter 0: loss 8.7211, loss_a 8.7211, loss_b nan, time 43074.96ms, mfu -100.00%
iter 10: loss 6.6275, loss_a 6.6275, loss_b nan, time 1311.41ms, mfu 8.77%
iter 20: loss 5.8852, loss_a 5.8852, loss_b nan, time 1306.37ms, mfu 8.77%
iter 30: loss 4.7917, loss_a 4.7917, loss_b nan, time 1306.39ms, mfu 8.78%
iter 40: loss 3.5777, loss_a 3.5777, loss_b nan, time 1309.79ms, mfu 8.78%
iter 50: loss 3.0808, loss_a 3.0808, loss_b nan, time 1310.08ms, mfu 8.78%
iter 60: loss 2.8506, loss_a 2.8506, loss_b nan, time 1312.01ms, mfu 8.78%
iter 70: loss 2.7044, loss_a 2.7044, loss_b nan, time 1312.89ms, mfu 8.77%
iter 80: loss 2.5686, loss_a 2.5686, loss_b nan, time 1311.03ms, mfu 8.77%
iter 90: loss 2.3946, loss_a 2.3946, loss_b nan, time 1311.96ms, mfu 8.77%
iter 100: loss 2.2420, loss_a 2.2420, loss_b nan, time 1311.71ms, mfu 8.77%
iter 110: loss 2.1354, loss_a 2.1354, loss_b nan, time 1313.16ms, mfu 8.77%
iter 120: loss 2.0771, loss_a 2.0771, loss_b nan, time 1312.40ms, mfu 8.77%
iter 130: loss 1.9150, loss_a 1.9150, loss_b nan, time 1312.26ms, mfu 8.77%
iter 140: loss 1.8205, loss_a 1.8205, loss_b nan, time 1312.43ms, mfu 8.77%
iter 150: loss 1.7761, loss_a 1.7761, loss_b nan, time 1312.17ms, mfu 8.77%
iter 160: loss 1.6465, loss_a 1.6465, loss_b nan, time 1312.54ms, mfu 8.77%
iter 170: loss 1.5824, loss_a 1.5824, loss_b nan, time 1311.71ms, mfu 8.77%
iter 180: loss 1.4819, loss_a 1.4819, loss_b nan, time 1312.33ms, mfu 8.77%
iter 190: loss 1.5758, loss_a 1.5758, loss_b nan, time 1311.21ms, mfu 8.77%
iter 200: loss 1.4528, loss_a 1.4528, loss_b nan, time 1311.24ms, mfu 8.77%
iter 210: loss 1.5203, loss_a 1.5203, loss_b nan, time 1310.92ms, mfu 8.77%
iter 220: loss 1.4408, loss_a 1.4408, loss_b nan, time 1312.67ms, mfu 8.77%
iter 230: loss 1.4677, loss_a 1.4677, loss_b nan, time 1311.33ms, mfu 8.77%
iter 240: loss 1.3305, loss_a 1.3305, loss_b nan, time 1312.78ms, mfu 8.77%
iter 250: loss 1.4127, loss_a 1.4127, loss_b nan, time 1311.88ms, mfu 8.77%
iter 260: loss 1.4223, loss_a 1.4223, loss_b nan, time 1311.07ms, mfu 8.77%
iter 270: loss 1.3991, loss_a 1.3991, loss_b nan, time 1311.95ms, mfu 8.77%
iter 280: loss 1.3952, loss_a 1.3952, loss_b nan, time 1310.95ms, mfu 8.77%
iter 290: loss 1.3539, loss_a 1.3539, loss_b nan, time 1314.27ms, mfu 8.77%
iter 300: loss 1.3248, loss_a 1.3248, loss_b nan, time 1313.56ms, mfu 8.76%
iter 310: loss 1.2792, loss_a 1.2792, loss_b nan, time 1312.65ms, mfu 8.76%
iter 320: loss 1.4025, loss_a 1.4025, loss_b nan, time 1313.16ms, mfu 8.76%
iter 330: loss 1.3330, loss_a 1.3330, loss_b nan, time 1311.85ms, mfu 8.76%
iter 340: loss 1.3848, loss_a 1.3848, loss_b nan, time 1311.96ms, mfu 8.76%
iter 350: loss 1.2458, loss_a 1.2458, loss_b nan, time 1312.61ms, mfu 8.76%
iter 360: loss 1.2035, loss_a 1.2035, loss_b nan, time 1310.92ms, mfu 8.76%
iter 370: loss 1.3001, loss_a 1.3001, loss_b nan, time 1311.44ms, mfu 8.77%
iter 380: loss 1.2810, loss_a 1.2810, loss_b nan, time 1310.55ms, mfu 8.77%
iter 390: loss 1.3282, loss_a 1.3282, loss_b nan, time 1310.57ms, mfu 8.77%
iter 400: loss 1.2362, loss_a 1.2362, loss_b nan, time 1311.03ms, mfu 8.77%
iter 410: loss 1.3015, loss_a 1.3015, loss_b nan, time 1311.67ms, mfu 8.77%
iter 420: loss 1.2347, loss_a 1.2347, loss_b nan, time 1312.82ms, mfu 8.77%
iter 430: loss 1.2515, loss_a 1.2515, loss_b nan, time 1311.90ms, mfu 8.77%
iter 440: loss 1.2564, loss_a 1.2564, loss_b nan, time 1314.38ms, mfu 8.76%
iter 450: loss 1.2072, loss_a 1.2072, loss_b nan, time 1311.37ms, mfu 8.77%
iter 460: loss 1.2358, loss_a 1.2358, loss_b nan, time 1311.93ms, mfu 8.77%
iter 470: loss 1.2390, loss_a 1.2390, loss_b nan, time 1311.69ms, mfu 8.77%
iter 480: loss 1.2069, loss_a 1.2069, loss_b nan, time 1309.97ms, mfu 8.77%
iter 490: loss 1.3048, loss_a 1.3048, loss_b nan, time 1311.86ms, mfu 8.77%
step 500: train loss 1.1922, val loss 1.2169
saving checkpoint to out-enwik8-char-sparse
iter 500: loss 1.1988, loss_a 1.1988, loss_b nan, time 43355.15ms, mfu 7.92%
iter 510: loss 1.1594, loss_a 1.1594, loss_b nan, time 1315.28ms, mfu 8.00%
iter 520: loss 1.1860, loss_a 1.1860, loss_b nan, time 1316.98ms, mfu 8.07%
iter 530: loss 1.2170, loss_a 1.2170, loss_b nan, time 1315.80ms, mfu 8.14%
iter 540: loss 1.1445, loss_a 1.1445, loss_b nan, time 1314.90ms, mfu 8.20%
iter 550: loss 1.0963, loss_a 1.0963, loss_b nan, time 1313.82ms, mfu 8.26%
iter 560: loss 1.1572, loss_a 1.1572, loss_b nan, time 1314.62ms, mfu 8.30%
iter 570: loss 1.1422, loss_a 1.1422, loss_b nan, time 1314.28ms, mfu 8.35%
iter 580: loss 1.1469, loss_a 1.1469, loss_b nan, time 1314.26ms, mfu 8.39%
iter 590: loss 1.1706, loss_a 1.1706, loss_b nan, time 1314.38ms, mfu 8.43%
iter 600: loss 1.1229, loss_a 1.1229, loss_b nan, time 1314.97ms, mfu 8.46%
iter 610: loss 1.1253, loss_a 1.1253, loss_b nan, time 1317.21ms, mfu 8.48%
iter 620: loss 1.1363, loss_a 1.1363, loss_b nan, time 1314.35ms, mfu 8.51%
iter 630: loss 1.1362, loss_a 1.1362, loss_b nan, time 1314.51ms, mfu 8.53%
iter 640: loss 1.0995, loss_a 1.0995, loss_b nan, time 1314.64ms, mfu 8.56%
iter 650: loss 1.1167, loss_a 1.1167, loss_b nan, time 1314.61ms, mfu 8.58%
iter 660: loss 1.0669, loss_a 1.0669, loss_b nan, time 1314.87ms, mfu 8.59%
iter 670: loss 1.0254, loss_a 1.0254, loss_b nan, time 1314.02ms, mfu 8.61%
iter 680: loss 1.1015, loss_a 1.1015, loss_b nan, time 1314.15ms, mfu 8.62%
iter 690: loss 1.0821, loss_a 1.0821, loss_b nan, time 1315.43ms, mfu 8.63%
iter 700: loss 1.0116, loss_a 1.0116, loss_b nan, time 1314.25ms, mfu 8.65%
iter 710: loss 1.0829, loss_a 1.0829, loss_b nan, time 1314.60ms, mfu 8.66%
iter 720: loss 1.0888, loss_a 1.0888, loss_b nan, time 1314.61ms, mfu 8.67%
iter 730: loss 1.0159, loss_a 1.0159, loss_b nan, time 1315.33ms, mfu 8.67%
iter 740: loss 1.1086, loss_a 1.1086, loss_b nan, time 1312.53ms, mfu 8.68%
iter 750: loss 1.0708, loss_a 1.0708, loss_b nan, time 1314.83ms, mfu 8.69%
iter 760: loss 1.0795, loss_a 1.0795, loss_b nan, time 1313.57ms, mfu 8.70%
iter 770: loss 1.0573, loss_a 1.0573, loss_b nan, time 1315.89ms, mfu 8.70%
iter 780: loss 1.1012, loss_a 1.1012, loss_b nan, time 1313.73ms, mfu 8.70%
iter 790: loss 0.9805, loss_a 0.9805, loss_b nan, time 1315.83ms, mfu 8.71%
iter 800: loss 1.0325, loss_a 1.0325, loss_b nan, time 1315.16ms, mfu 8.71%
iter 810: loss 1.0698, loss_a 1.0698, loss_b nan, time 1314.56ms, mfu 8.72%
iter 820: loss 1.0376, loss_a 1.0376, loss_b nan, time 1313.98ms, mfu 8.72%
iter 830: loss 1.1355, loss_a 1.1355, loss_b nan, time 1314.99ms, mfu 8.72%
iter 840: loss 1.0755, loss_a 1.0755, loss_b nan, time 1315.10ms, mfu 8.72%
iter 850: loss 1.0639, loss_a 1.0639, loss_b nan, time 1315.64ms, mfu 8.73%
iter 860: loss 1.0219, loss_a 1.0219, loss_b nan, time 1315.63ms, mfu 8.73%
iter 870: loss 1.1110, loss_a 1.1110, loss_b nan, time 1313.55ms, mfu 8.73%
iter 880: loss 1.0562, loss_a 1.0562, loss_b nan, time 1312.78ms, mfu 8.73%
iter 890: loss 1.0012, loss_a 1.0012, loss_b nan, time 1314.83ms, mfu 8.73%
iter 900: loss 1.0326, loss_a 1.0326, loss_b nan, time 1313.70ms, mfu 8.74%
iter 910: loss 1.0234, loss_a 1.0234, loss_b nan, time 1313.10ms, mfu 8.74%
iter 920: loss 0.9960, loss_a 0.9960, loss_b nan, time 1333.20ms, mfu 8.73%
iter 930: loss 1.0706, loss_a 1.0706, loss_b nan, time 1314.43ms, mfu 8.73%
iter 940: loss 1.0008, loss_a 1.0008, loss_b nan, time 1313.98ms, mfu 8.73%
iter 950: loss 1.0391, loss_a 1.0391, loss_b nan, time 1313.11ms, mfu 8.73%
iter 960: loss 1.0470, loss_a 1.0470, loss_b nan, time 1313.76ms, mfu 8.74%
iter 970: loss 1.0007, loss_a 1.0007, loss_b nan, time 1312.85ms, mfu 8.74%
iter 980: loss 1.0194, loss_a 1.0194, loss_b nan, time 1314.03ms, mfu 8.74%
iter 990: loss 0.9928, loss_a 0.9928, loss_b nan, time 1313.31ms, mfu 8.74%
step 1000: train loss 1.0230, val loss 1.0394
saving checkpoint to out-enwik8-char-sparse
iter 1000: loss 0.9587, loss_a 0.9587, loss_b nan, time 45761.02ms, mfu 7.89%
iter 1010: loss 0.9761, loss_a 0.9761, loss_b nan, time 1315.95ms, mfu 7.98%
iter 1020: loss 0.9584, loss_a 0.9584, loss_b nan, time 1315.13ms, mfu 8.05%
iter 1030: loss 0.9997, loss_a 0.9997, loss_b nan, time 1315.59ms, mfu 8.12%
iter 1040: loss 1.0293, loss_a 1.0293, loss_b nan, time 1315.12ms, mfu 8.18%
iter 1050: loss 1.0084, loss_a 1.0084, loss_b nan, time 1313.92ms, mfu 8.24%
iter 1060: loss 0.9595, loss_a 0.9595, loss_b nan, time 1313.34ms, mfu 8.29%
iter 1070: loss 1.0341, loss_a 1.0341, loss_b nan, time 1313.80ms, mfu 8.34%
iter 1080: loss 1.0448, loss_a 1.0448, loss_b nan, time 1314.79ms, mfu 8.38%
iter 1090: loss 1.0227, loss_a 1.0227, loss_b nan, time 1315.87ms, mfu 8.42%
iter 1100: loss 1.0276, loss_a 1.0276, loss_b nan, time 1313.53ms, mfu 8.45%
iter 1110: loss 0.9635, loss_a 0.9635, loss_b nan, time 1315.44ms, mfu 8.48%
iter 1120: loss 0.9800, loss_a 0.9800, loss_b nan, time 1315.79ms, mfu 8.50%
iter 1130: loss 1.0318, loss_a 1.0318, loss_b nan, time 1314.40ms, mfu 8.53%
iter 1140: loss 0.9859, loss_a 0.9859, loss_b nan, time 1315.12ms, mfu 8.55%
iter 1150: loss 0.9701, loss_a 0.9701, loss_b nan, time 1317.23ms, mfu 8.57%
iter 1160: loss 1.0467, loss_a 1.0467, loss_b nan, time 1314.21ms, mfu 8.59%
iter 1170: loss 1.0027, loss_a 1.0027, loss_b nan, time 1313.08ms, mfu 8.60%
iter 1180: loss 1.0553, loss_a 1.0553, loss_b nan, time 1316.27ms, mfu 8.62%
iter 1190: loss 0.9159, loss_a 0.9159, loss_b nan, time 1313.85ms, mfu 8.63%
iter 1200: loss 1.0145, loss_a 1.0145, loss_b nan, time 1314.20ms, mfu 8.64%
iter 1210: loss 0.9449, loss_a 0.9449, loss_b nan, time 1314.03ms, mfu 8.65%
iter 1220: loss 1.0615, loss_a 1.0615, loss_b nan, time 1313.39ms, mfu 8.66%
iter 1230: loss 1.0187, loss_a 1.0187, loss_b nan, time 1314.58ms, mfu 8.67%
iter 1240: loss 1.0317, loss_a 1.0317, loss_b nan, time 1314.24ms, mfu 8.68%
