number of parameters: 81.81M
iter 0: loss 8.815082550048828, loss_a 8.819798469543457, loss_b 8.804180145263672, lr 1.188118811881188e-05
iter 10: loss 6.591552734375, loss_a 6.39664363861084, loss_b 7.081846714019775, lr 7.128712871287128e-05
iter 20: loss 5.914474010467529, loss_a 5.609483242034912, loss_b 6.644909858703613, lr 0.00013069306930693067
iter 30: loss 4.798704147338867, loss_a 4.510371208190918, loss_b 5.600494384765625, lr 0.00019009900990099007
iter 40: loss 3.7705554962158203, loss_a 3.488220453262329, loss_b 4.418118000030518, lr 0.0002495049504950495
iter 50: loss 3.1436805725097656, loss_a 2.9052367210388184, loss_b 3.8350636959075928, lr 0.0003089108910891089
iter 60: loss 2.98169207572937, loss_a 2.784902572631836, loss_b 3.460693359375, lr 0.0003683168316831683
iter 70: loss 2.831061840057373, loss_a 2.714658498764038, loss_b 3.1115684509277344, lr 0.0004277227722772277
iter 80: loss 2.721965789794922, loss_a 2.5760862827301025, loss_b 3.043402671813965, lr 0.0004871287128712871
iter 90: loss 2.504002571105957, loss_a 2.3611860275268555, loss_b 2.90195369720459, lr 0.0005465346534653465
iter 100: loss 2.414777994155884, loss_a 2.2552943229675293, loss_b 2.8710556030273438, lr 0.0005999999999962976
iter 110: loss 2.298269510269165, loss_a 2.120522975921631, loss_b 2.7476117610931396, lr 0.0005999999995520173
iter 120: loss 2.1963624954223633, loss_a 2.026707649230957, loss_b 2.6246047019958496, lr 0.00059999999836727
iter 130: loss 2.030474901199341, loss_a 1.8433986902236938, loss_b 2.510004997253418, lr 0.0005999999964420554
iter 140: loss 2.044733762741089, loss_a 1.8462568521499634, loss_b 2.505258321762085, lr 0.0005999999937763737
iter 150: loss 1.9134842157363892, loss_a 1.7015528678894043, loss_b 2.5016181468963623, lr 0.0005999999903702249
iter 160: loss 1.8766286373138428, loss_a 1.7121714353561401, loss_b 2.2523064613342285, lr 0.0005999999862236091
iter 170: loss 1.8131725788116455, loss_a 1.610528826713562, loss_b 2.304677724838257, lr 0.0005999999813365261
iter 180: loss 1.7638239860534668, loss_a 1.5583022832870483, loss_b 2.3166961669921875, lr 0.000599999975708976
iter 190: loss 1.5895347595214844, loss_a 1.3550148010253906, loss_b 2.1738479137420654, lr 0.0005999999693409589
iter 200: loss 1.6864266395568848, loss_a 1.4421111345291138, loss_b 2.297149419784546, lr 0.0005999999622324747
iter 210: loss 1.6715028285980225, loss_a 1.4663128852844238, loss_b 2.173323154449463, lr 0.0005999999543835235
iter 220: loss 1.7294113636016846, loss_a 1.4883360862731934, loss_b 2.3003792762756348, lr 0.0005999999457941054
iter 230: loss 1.516990065574646, loss_a 1.2902624607086182, loss_b 2.1154770851135254, lr 0.0005999999364642202
iter 240: loss 1.5725129842758179, loss_a 1.2960084676742554, loss_b 2.318061590194702, lr 0.0005999999263938681
iter 250: loss 1.6392438411712646, loss_a 1.3670152425765991, loss_b 2.343201160430908, lr 0.000599999915583049
iter 260: loss 1.4926338195800781, loss_a 1.290629267692566, loss_b 1.9215781688690186, lr 0.000599999904031763
iter 270: loss 1.483121633529663, loss_a 1.2704252004623413, loss_b 2.0371620655059814, lr 0.0005999998917400102
iter 280: loss 1.460858702659607, loss_a 1.245177149772644, loss_b 2.007330894470215, lr 0.0005999998787077905
iter 290: loss 1.4999582767486572, loss_a 1.210132122039795, loss_b 2.265474796295166, lr 0.000599999864935104
iter 300: loss 1.4664063453674316, loss_a 1.228135347366333, loss_b 2.0948832035064697, lr 0.0005999998504219508
iter 310: loss 1.4879450798034668, loss_a 1.241952657699585, loss_b 2.1047027111053467, lr 0.0005999998351683308
iter 320: loss 1.5077319145202637, loss_a 1.2642301321029663, loss_b 2.1446304321289062, lr 0.0005999998191742442
iter 330: loss 1.497046947479248, loss_a 1.221325159072876, loss_b 2.3078982830047607, lr 0.0005999998024396909
iter 340: loss 1.4508740901947021, loss_a 1.1756714582443237, loss_b 2.194866180419922, lr 0.0005999997849646711
iter 350: loss 1.4927072525024414, loss_a 1.2110763788223267, loss_b 2.2429983615875244, lr 0.0005999997667491847
iter 360: loss 1.3896842002868652, loss_a 1.1504071950912476, loss_b 1.9979513883590698, lr 0.0005999997477932318
iter 370: loss 1.396670937538147, loss_a 1.119341254234314, loss_b 2.1287312507629395, lr 0.0005999997280968125
iter 380: loss 1.354668378829956, loss_a 1.1091289520263672, loss_b 1.9627079963684082, lr 0.0005999997076599267
iter 390: loss 1.388028621673584, loss_a 1.1441420316696167, loss_b 2.0577898025512695, lr 0.0005999996864825746
iter 400: loss 1.3972762823104858, loss_a 1.092751145362854, loss_b 2.165497064590454, lr 0.0005999996645647563
iter 410: loss 1.4267195463180542, loss_a 1.1550880670547485, loss_b 2.1641368865966797, lr 0.0005999996419064718
iter 420: loss 1.4182593822479248, loss_a 1.1696175336837769, loss_b 2.1154606342315674, lr 0.0005999996185077211
iter 430: loss 1.3979511260986328, loss_a 1.1284863948822021, loss_b 2.1465675830841064, lr 0.0005999995943685043
iter 440: loss 1.4015464782714844, loss_a 1.1582742929458618, loss_b 2.098426103591919, lr 0.0005999995694888215
iter 450: loss 1.3158681392669678, loss_a 1.079830527305603, loss_b 1.9382632970809937, lr 0.0005999995438686728
iter 460: loss 1.344751000404358, loss_a 1.0869817733764648, loss_b 2.0593061447143555, lr 0.0005999995175080581
iter 470: loss 1.3314119577407837, loss_a 1.092090368270874, loss_b 1.8834211826324463, lr 0.0005999994904069778
iter 480: loss 1.378145694732666, loss_a 1.0965332984924316, loss_b 2.1793625354766846, lr 0.0005999994625654316
iter 490: loss 1.3172657489776611, loss_a 1.0327647924423218, loss_b 2.005279541015625, lr 0.0005999994339834198
iter 500: loss 1.263502836227417, loss_a 1.0006792545318604, loss_b 1.908469319343567, lr 0.0005999994046609424
iter 510: loss 1.2778908014297485, loss_a 1.0533651113510132, loss_b 1.7810860872268677, lr 0.0005999993745979995
iter 520: loss 1.2993566989898682, loss_a 1.0461643934249878, loss_b 1.959183692932129, lr 0.000599999343794591
iter 530: loss 1.335871934890747, loss_a 1.117905616760254, loss_b 1.8195089101791382, lr 0.0005999993122507175
iter 540: loss 1.3264249563217163, loss_a 1.0832852125167847, loss_b 1.9562119245529175, lr 0.0005999992799663786
iter 550: loss 1.3606443405151367, loss_a 1.0724347829818726, loss_b 2.110584020614624, lr 0.0005999992469415745
iter 560: loss 1.261353850364685, loss_a 1.012235164642334, loss_b 1.9139386415481567, lr 0.0005999992131763054
iter 570: loss 1.225235104560852, loss_a 0.967107892036438, loss_b 1.8348939418792725, lr 0.0005999991786705713
iter 580: loss 1.2992112636566162, loss_a 1.0333058834075928, loss_b 2.00273060798645, lr 0.0005999991434243724
iter 590: loss 1.3284616470336914, loss_a 1.0835708379745483, loss_b 1.9455949068069458, lr 0.0005999991074377086
iter 600: loss 1.2304892539978027, loss_a 0.9787880182266235, loss_b 1.8256654739379883, lr 0.0005999990707105801
iter 610: loss 1.296633243560791, loss_a 1.0399205684661865, loss_b 2.039797306060791, lr 0.0005999990332429871
iter 620: loss 1.3339787721633911, loss_a 1.0872628688812256, loss_b 1.9467556476593018, lr 0.0005999989950349297
iter 630: loss 1.2831015586853027, loss_a 1.0328861474990845, loss_b 1.9256412982940674, lr 0.0005999989560864078
iter 640: loss 1.322837471961975, loss_a 1.043749451637268, loss_b 2.013646364212036, lr 0.0005999989163974216
iter 650: loss 1.2814233303070068, loss_a 1.0241793394088745, loss_b 1.9082245826721191, lr 0.0005999988759679714
iter 660: loss 1.1717784404754639, loss_a 0.9447377324104309, loss_b 1.6999574899673462, lr 0.000599998834798057
iter 670: loss 1.285353660583496, loss_a 1.0087381601333618, loss_b 2.017658233642578, lr 0.0005999987928876786
iter 680: loss 1.2044997215270996, loss_a 0.9759610295295715, loss_b 1.717716097831726, lr 0.0005999987502368365
iter 690: loss 1.2450668811798096, loss_a 0.9809630513191223, loss_b 1.8829073905944824, lr 0.0005999987068455307
iter 700: loss 1.1970852613449097, loss_a 0.944083571434021, loss_b 1.8149197101593018, lr 0.0005999986627137614
iter 710: loss 1.2350895404815674, loss_a 1.006568431854248, loss_b 1.809935212135315, lr 0.0005999986178415285
iter 720: loss 1.2818255424499512, loss_a 0.987747311592102, loss_b 2.0675718784332275, lr 0.0005999985722288323
iter 730: loss 1.168264627456665, loss_a 0.9234219193458557, loss_b 1.7781147956848145, lr 0.0005999985258756728
iter 740: loss 1.2452884912490845, loss_a 0.9426217675209045, loss_b 2.110931396484375, lr 0.0005999984787820504
iter 750: loss 1.072437047958374, loss_a 0.8353381156921387, loss_b 1.6551393270492554, lr 0.0005999984309479648
iter 760: loss 1.1522419452667236, loss_a 0.9327002167701721, loss_b 1.6250247955322266, lr 0.0005999983823734166
iter 770: loss 1.1929006576538086, loss_a 0.9075140953063965, loss_b 1.8830565214157104, lr 0.0005999983330584055
iter 780: loss 1.1409600973129272, loss_a 0.880504846572876, loss_b 1.7878614664077759, lr 0.000599998283002932
iter 790: loss 1.2513697147369385, loss_a 0.9540949463844299, loss_b 2.058151960372925, lr 0.0005999982322069961
iter 800: loss 1.1394774913787842, loss_a 0.8810771107673645, loss_b 1.8073718547821045, lr 0.0005999981806705978
iter 810: loss 1.160097360610962, loss_a 0.883672297000885, loss_b 1.9115769863128662, lr 0.0005999981283937373
iter 820: loss 1.1683859825134277, loss_a 0.8838594555854797, loss_b 1.9244136810302734, lr 0.0005999980753764149
iter 830: loss 1.2120296955108643, loss_a 0.8997304439544678, loss_b 2.1191565990448, lr 0.0005999980216186307
iter 840: loss 1.0827085971832275, loss_a 0.8417818546295166, loss_b 1.6487623453140259, lr 0.0005999979671203848
