number of parameters: 81.81M
iter 0: loss 8.7932710647583, loss_a 8.820866584777832, loss_b 8.717525482177734, lr 1.188118811881188e-05
iter 10: loss 6.407357215881348, loss_a 6.2227630615234375, loss_b 6.868035793304443, lr 7.128712871287128e-05
iter 20: loss 5.545342445373535, loss_a 5.40172004699707, loss_b 5.960519313812256, lr 0.00013069306930693067
iter 30: loss 4.4165496826171875, loss_a 4.269535541534424, loss_b 4.832180500030518, lr 0.00019009900990099007
iter 40: loss 3.3388404846191406, loss_a 3.176379442214966, loss_b 3.7567265033721924, lr 0.0002495049504950495
iter 50: loss 2.8136637210845947, loss_a 2.6769540309906006, loss_b 3.2180464267730713, lr 0.0003089108910891089
iter 60: loss 2.6582491397857666, loss_a 2.581986904144287, loss_b 2.8562369346618652, lr 0.0003683168316831683
iter 70: loss 2.6219072341918945, loss_a 2.519535779953003, loss_b 2.8813250064849854, lr 0.0004277227722772277
iter 80: loss 2.5301618576049805, loss_a 2.425116539001465, loss_b 2.7805609703063965, lr 0.0004871287128712871
iter 90: loss 2.40732479095459, loss_a 2.279404878616333, loss_b 2.7223129272460938, lr 0.0005465346534653465
iter 100: loss 2.24607515335083, loss_a 2.1171252727508545, loss_b 2.588397741317749, lr 0.0005999999999962976
iter 110: loss 2.1154661178588867, loss_a 1.9735759496688843, loss_b 2.525636672973633, lr 0.0005999999995520173
iter 120: loss 2.0759100914001465, loss_a 1.8880553245544434, loss_b 2.5563459396362305, lr 0.00059999999836727
iter 130: loss 1.9463002681732178, loss_a 1.8143138885498047, loss_b 2.288902997970581, lr 0.0005999999964420554
iter 140: loss 1.8564064502716064, loss_a 1.7223557233810425, loss_b 2.1613059043884277, lr 0.0005999999937763737
iter 150: loss 1.8096020221710205, loss_a 1.6277642250061035, loss_b 2.3390519618988037, lr 0.0005999999903702249
iter 160: loss 1.8638532161712646, loss_a 1.6393468379974365, loss_b 2.399721384048462, lr 0.0005999999862236091
iter 170: loss 1.7482564449310303, loss_a 1.5448299646377563, loss_b 2.2195138931274414, lr 0.0005999999813365261
iter 180: loss 1.7086620330810547, loss_a 1.4940102100372314, loss_b 2.2511372566223145, lr 0.000599999975708976
iter 190: loss 1.7152552604675293, loss_a 1.4939813613891602, loss_b 2.2990779876708984, lr 0.0005999999693409589
iter 200: loss 1.64595627784729, loss_a 1.4237310886383057, loss_b 2.2346301078796387, lr 0.0005999999622324747
iter 210: loss 1.646902322769165, loss_a 1.3963316679000854, loss_b 2.214456558227539, lr 0.0005999999543835235
iter 220: loss 1.5537166595458984, loss_a 1.3201810121536255, loss_b 2.1020848751068115, lr 0.0005999999457941054
iter 230: loss 1.6474207639694214, loss_a 1.3947848081588745, loss_b 2.233780860900879, lr 0.0005999999364642202
iter 240: loss 1.44669508934021, loss_a 1.2273789644241333, loss_b 1.9937808513641357, lr 0.0005999999263938681
iter 250: loss 1.527694821357727, loss_a 1.3081296682357788, loss_b 2.1063003540039062, lr 0.000599999915583049
iter 260: loss 1.5491900444030762, loss_a 1.220285415649414, loss_b 2.40854811668396, lr 0.000599999904031763
iter 270: loss 1.5306355953216553, loss_a 1.2516496181488037, loss_b 2.2874321937561035, lr 0.0005999998917400102
iter 280: loss 1.5353221893310547, loss_a 1.3187671899795532, loss_b 2.0998432636260986, lr 0.0005999998787077905
iter 290: loss 1.4992103576660156, loss_a 1.2558540105819702, loss_b 2.1258411407470703, lr 0.000599999864935104
iter 300: loss 1.4753084182739258, loss_a 1.2625106573104858, loss_b 1.9777593612670898, lr 0.0005999998504219508
iter 310: loss 1.451608657836914, loss_a 1.214557409286499, loss_b 2.0632078647613525, lr 0.0005999998351683308
iter 320: loss 1.5491454601287842, loss_a 1.2681591510772705, loss_b 2.2530088424682617, lr 0.0005999998191742442
iter 330: loss 1.419628381729126, loss_a 1.1927872896194458, loss_b 2.0462865829467773, lr 0.0005999998024396909
iter 340: loss 1.4460986852645874, loss_a 1.1910123825073242, loss_b 2.0567471981048584, lr 0.0005999997849646711
iter 350: loss 1.4631909132003784, loss_a 1.229275107383728, loss_b 2.0674331188201904, lr 0.0005999997667491847
iter 360: loss 1.3696010112762451, loss_a 1.1359398365020752, loss_b 1.99885094165802, lr 0.0005999997477932318
iter 370: loss 1.4548752307891846, loss_a 1.2288893461227417, loss_b 2.0422797203063965, lr 0.0005999997280968125
iter 380: loss 1.373828649520874, loss_a 1.1271892786026, loss_b 1.966167688369751, lr 0.0005999997076599267
iter 390: loss 1.4095138311386108, loss_a 1.1575663089752197, loss_b 2.1092450618743896, lr 0.0005999996864825746
iter 400: loss 1.3751564025878906, loss_a 1.1467475891113281, loss_b 1.9246004819869995, lr 0.0005999996645647563
iter 410: loss 1.3300392627716064, loss_a 1.0885385274887085, loss_b 1.9165704250335693, lr 0.0005999996419064718
iter 420: loss 1.3871400356292725, loss_a 1.102331519126892, loss_b 2.1605703830718994, lr 0.0005999996185077211
iter 430: loss 1.4162111282348633, loss_a 1.1646664142608643, loss_b 2.1487419605255127, lr 0.0005999995943685043
iter 440: loss 1.3394668102264404, loss_a 1.0833086967468262, loss_b 2.0052976608276367, lr 0.0005999995694888215
iter 450: loss 1.3604960441589355, loss_a 1.1221511363983154, loss_b 1.9619449377059937, lr 0.0005999995438686728
iter 460: loss 1.3312184810638428, loss_a 1.085910677909851, loss_b 1.9120407104492188, lr 0.0005999995175080581
iter 470: loss 1.3340251445770264, loss_a 1.0849647521972656, loss_b 2.020883560180664, lr 0.0005999994904069778
iter 480: loss 1.3161327838897705, loss_a 1.071623682975769, loss_b 1.977250099182129, lr 0.0005999994625654316
iter 490: loss 1.3351951837539673, loss_a 1.0821757316589355, loss_b 2.0089521408081055, lr 0.0005999994339834198
iter 500: loss 1.3611946105957031, loss_a 1.0941381454467773, loss_b 2.031869411468506, lr 0.0005999994046609424
iter 510: loss 1.3066599369049072, loss_a 1.03892982006073, loss_b 2.017838716506958, lr 0.0005999993745979995
iter 520: loss 1.3199083805084229, loss_a 1.0657947063446045, loss_b 1.9296599626541138, lr 0.000599999343794591
iter 530: loss 1.3529205322265625, loss_a 1.0710432529449463, loss_b 2.0135490894317627, lr 0.0005999993122507175
iter 540: loss 1.325101375579834, loss_a 1.0936870574951172, loss_b 1.9107307195663452, lr 0.0005999992799663786
iter 550: loss 1.2698156833648682, loss_a 1.0216681957244873, loss_b 1.9279651641845703, lr 0.0005999992469415745
iter 560: loss 1.283233642578125, loss_a 0.9753032326698303, loss_b 1.9782118797302246, lr 0.0005999992131763054
iter 570: loss 1.1506972312927246, loss_a 0.9484227299690247, loss_b 1.6026009321212769, lr 0.0005999991786705713
iter 580: loss 1.2992604970932007, loss_a 1.0128047466278076, loss_b 1.9846012592315674, lr 0.0005999991434243724
iter 590: loss 1.2840932607650757, loss_a 1.012133002281189, loss_b 1.9877837896347046, lr 0.0005999991074377086
iter 600: loss 1.3257851600646973, loss_a 1.0402075052261353, loss_b 2.014979362487793, lr 0.0005999990707105801
iter 610: loss 1.2447341680526733, loss_a 0.9538930654525757, loss_b 2.0438156127929688, lr 0.0005999990332429871
iter 620: loss 1.2994472980499268, loss_a 1.0284243822097778, loss_b 1.9704924821853638, lr 0.0005999989950349297
iter 630: loss 1.2074074745178223, loss_a 0.9528740644454956, loss_b 1.8278790712356567, lr 0.0005999989560864078
