number of parameters: 81.81M
iter 0: loss 8.753521919250488, loss_a 8.748482704162598, loss_b 8.766866683959961, lr 1.188118811881188e-05
iter 10: loss 6.533685207366943, loss_a 6.339133262634277, loss_b 7.064316272735596, lr 7.128712871287128e-05
iter 20: loss 5.768394470214844, loss_a 5.5937819480896, loss_b 6.211609840393066, lr 0.00013069306930693067
iter 30: loss 4.555967330932617, loss_a 4.421497344970703, loss_b 4.896365642547607, lr 0.00019009900990099007
iter 40: loss 3.354574203491211, loss_a 3.196132183074951, loss_b 3.791593551635742, lr 0.0002495049504950495
iter 50: loss 2.858219623565674, loss_a 2.7464611530303955, loss_b 3.1924595832824707, lr 0.0003089108910891089
iter 60: loss 2.819016456604004, loss_a 2.716796636581421, loss_b 3.0619683265686035, lr 0.0003683168316831683
iter 70: loss 2.685506582260132, loss_a 2.5539979934692383, loss_b 3.055893659591675, lr 0.0004277227722772277
iter 80: loss 2.702207088470459, loss_a 2.531554698944092, loss_b 3.1300718784332275, lr 0.0004871287128712871
iter 90: loss 2.4816737174987793, loss_a 2.349900245666504, loss_b 2.8219106197357178, lr 0.0005465346534653465
iter 100: loss 2.506045341491699, loss_a 2.3417019844055176, loss_b 2.898714780807495, lr 0.0005999999996286531
iter 110: loss 2.3072962760925293, loss_a 2.1684792041778564, loss_b 2.689110279083252, lr 0.0005999999550670194
iter 120: loss 2.2730534076690674, loss_a 2.173344373703003, loss_b 2.5044076442718506, lr 0.0005999998362360085
iter 130: loss 2.2119367122650146, loss_a 2.0476722717285156, loss_b 2.7434604167938232, lr 0.0005999996431356532
iter 140: loss 2.156116008758545, loss_a 2.008188247680664, loss_b 2.528228998184204, lr 0.0005999993757660061
iter 150: loss 2.152444839477539, loss_a 2.0041141510009766, loss_b 2.505817174911499, lr 0.0005999990341271414
iter 160: loss 2.053506851196289, loss_a 1.882194995880127, loss_b 2.489985704421997, lr 0.0005999986182191527
iter 170: loss 1.907271385192871, loss_a 1.851675271987915, loss_b 2.030088186264038, lr 0.0005999981280421543
iter 180: loss 1.9722731113433838, loss_a 1.8026493787765503, loss_b 2.3594183921813965, lr 0.0005999975635962812
iter 190: loss 2.037698745727539, loss_a 1.8414958715438843, loss_b 2.5324337482452393, lr 0.0005999969248816887
iter 200: loss 1.9036295413970947, loss_a 1.7413429021835327, loss_b 2.318863868713379, lr 0.0005999962118985525
iter 210: loss 1.9312708377838135, loss_a 1.7303870916366577, loss_b 2.458223819732666, lr 0.0005999954246470685
iter 220: loss 1.8405792713165283, loss_a 1.7216453552246094, loss_b 2.1466429233551025, lr 0.0005999945631274535
iter 230: loss 1.8863674402236938, loss_a 1.6774544715881348, loss_b 2.391064405441284, lr 0.0005999936273399444
iter 240: loss 1.8860594034194946, loss_a 1.6478382349014282, loss_b 2.5628576278686523, lr 0.0005999926172847986
iter 250: loss 1.6911344528198242, loss_a 1.5181318521499634, loss_b 2.13674259185791, lr 0.0005999915329622939
iter 260: loss 1.7294938564300537, loss_a 1.5113296508789062, loss_b 2.2757444381713867, lr 0.0005999903743727286
iter 270: loss 1.7325479984283447, loss_a 1.5104434490203857, loss_b 2.2874183654785156, lr 0.0005999891415164214
iter 280: loss 1.6377016305923462, loss_a 1.3937485218048096, loss_b 2.2395694255828857, lr 0.0005999878343937114
iter 290: loss 1.6955012083053589, loss_a 1.4680949449539185, loss_b 2.256295680999756, lr 0.0005999864530049584
iter 300: loss 1.705686092376709, loss_a 1.4343981742858887, loss_b 2.3684701919555664, lr 0.0005999849973505419
iter 310: loss 1.6858408451080322, loss_a 1.4818567037582397, loss_b 2.1857481002807617, lr 0.0005999834674308626
iter 320: loss 1.5783557891845703, loss_a 1.366523027420044, loss_b 2.1570181846618652, lr 0.0005999818632463414
iter 330: loss 1.5924973487854004, loss_a 1.3438060283660889, loss_b 2.327523946762085, lr 0.0005999801847974194
iter 340: loss 1.5832362174987793, loss_a 1.3452017307281494, loss_b 2.1251931190490723, lr 0.0005999784320845584
iter 350: loss 1.5915851593017578, loss_a 1.36266028881073, loss_b 2.1323513984680176, lr 0.0005999766051082405
iter 360: loss 1.5394927263259888, loss_a 1.312288522720337, loss_b 2.1448798179626465, lr 0.0005999747038689682
iter 370: loss 1.542852520942688, loss_a 1.3231194019317627, loss_b 2.1359682083129883, lr 0.0005999727283672644
iter 380: loss 1.5241775512695312, loss_a 1.2844207286834717, loss_b 2.1496574878692627, lr 0.0005999706786036728
iter 390: loss 1.57908296585083, loss_a 1.3450020551681519, loss_b 2.1793720722198486, lr 0.000599968554578757
iter 400: loss 1.583542823791504, loss_a 1.3417320251464844, loss_b 2.144289970397949, lr 0.0005999663562931013
iter 410: loss 1.5673174858093262, loss_a 1.3440901041030884, loss_b 2.1449131965637207, lr 0.0005999640837473104
iter 420: loss 1.4203104972839355, loss_a 1.2286994457244873, loss_b 1.8889212608337402, lr 0.0005999617369420094
iter 430: loss 1.4772906303405762, loss_a 1.247070074081421, loss_b 2.1097192764282227, lr 0.0005999593158778438
iter 440: loss 1.3693150281906128, loss_a 1.160905361175537, loss_b 1.8962523937225342, lr 0.0005999568205554798
iter 450: loss 1.4238733053207397, loss_a 1.2408342361450195, loss_b 1.8757928609848022, lr 0.0005999542509756035
iter 460: loss 1.5228965282440186, loss_a 1.2702434062957764, loss_b 2.218683958053589, lr 0.0005999516071389216
iter 470: loss 1.4368844032287598, loss_a 1.2503019571304321, loss_b 1.8775005340576172, lr 0.0005999488890461619
iter 480: loss 1.514087438583374, loss_a 1.276978611946106, loss_b 2.0719830989837646, lr 0.0005999460966980716
iter 490: loss 1.3700361251831055, loss_a 1.1258246898651123, loss_b 2.0399580001831055, lr 0.000599943230095419
iter 500: loss 1.4364041090011597, loss_a 1.2238831520080566, loss_b 1.979349136352539, lr 0.0005999402892389925
iter 510: loss 1.326613426208496, loss_a 1.107419490814209, loss_b 1.8341038227081299, lr 0.0005999372741296011
iter 520: loss 1.3630980253219604, loss_a 1.179484486579895, loss_b 1.7682552337646484, lr 0.0005999341847680742
iter 530: loss 1.454241156578064, loss_a 1.2125903367996216, loss_b 2.073756217956543, lr 0.0005999310211552616
iter 540: loss 1.4807249307632446, loss_a 1.187950611114502, loss_b 2.2948648929595947, lr 0.0005999277832920334
iter 550: loss 1.3804287910461426, loss_a 1.1486831903457642, loss_b 1.9625993967056274, lr 0.0005999244711792805
iter 560: loss 1.3461966514587402, loss_a 1.1221866607666016, loss_b 1.9419721364974976, lr 0.0005999210848179138
iter 570: loss 1.445936918258667, loss_a 1.1907373666763306, loss_b 2.084153890609741, lr 0.0005999176242088647
iter 580: loss 1.4606571197509766, loss_a 1.2116467952728271, loss_b 2.0756425857543945, lr 0.0005999140893530852
iter 590: loss 1.399012565612793, loss_a 1.114071249961853, loss_b 2.2272043228149414, lr 0.0005999104802515478
iter 600: loss 1.4274804592132568, loss_a 1.2299835681915283, loss_b 1.859514594078064, lr 0.0005999067969052449
iter 610: loss 1.4095804691314697, loss_a 1.1831324100494385, loss_b 2.1031885147094727, lr 0.00059990303931519
iter 620: loss 1.2895400524139404, loss_a 1.1259914636611938, loss_b 1.6344507932662964, lr 0.0005998992074824166
iter 630: loss 1.417102336883545, loss_a 1.2782350778579712, loss_b 1.692963719367981, lr 0.0005998953014079789
iter 640: loss 1.3590950965881348, loss_a 1.1137008666992188, loss_b 2.0360543727874756, lr 0.0005998913210929511
iter 650: loss 1.4514281749725342, loss_a 1.1981158256530762, loss_b 2.050065279006958, lr 0.0005998872665384281
iter 660: loss 1.3072264194488525, loss_a 1.1191741228103638, loss_b 1.7299480438232422, lr 0.0005998831377455253
iter 670: loss 1.318018913269043, loss_a 1.1073453426361084, loss_b 1.8062771558761597, lr 0.0005998789347153784
iter 680: loss 1.3577544689178467, loss_a 1.1231199502944946, loss_b 2.019111394882202, lr 0.0005998746574491434
iter 690: loss 1.311155080795288, loss_a 1.0782489776611328, loss_b 1.8952780961990356, lr 0.0005998703059479971
iter 700: loss 1.3267440795898438, loss_a 1.0738918781280518, loss_b 1.938401460647583, lr 0.0005998658802131363
iter 710: loss 1.389751672744751, loss_a 1.1363006830215454, loss_b 2.0054879188537598, lr 0.0005998613802457784
iter 720: loss 1.3165295124053955, loss_a 1.062439203262329, loss_b 2.0456743240356445, lr 0.0005998568060471613
iter 730: loss 1.2793102264404297, loss_a 1.0774754285812378, loss_b 1.725180983543396, lr 0.0005998521576185431
